batch_id,tier,mode,record_id,prompt_tokens,completion_tokens,total_tokens,timestamp
calibrate_fallback_forced_guess_flash_20260820T152352,flash,forced_guess,20efcabd23809347c511e5c69666b7583e49c1f7,6750,454,7204,2026-08-20T15:24:17.801554+00:00
calibrate_fallback_forced_guess_flash_20260820T152352,flash,forced_guess,f18a64d7a80d7243d8e1262c815cd3339044aa00,6786,440,7226,2026-08-20T15:24:22.921633+00:00
calibrate_fallback_forced_guess_flash_20260820T152352,flash,forced_guess,6db748182e54c848bf975003997a300369073c70,6915,309,7224,2026-08-20T15:24:26.504698+00:00
calibrate_fallback_forced_guess_flash_20260820T152352,flash,forced_guess,f58b4e1305e9ff2815b6970c4edb16276c068b85,6555,319,6874,2026-08-20T15:24:29.576911+00:00
calibrate_fallback_forced_guess_flash_20260820T152352,flash,forced_guess,e398b9c8b898f1fc1433a95c8c9040a27da5914e,6955,244,7199,2026-08-20T15:24:32.453255+00:00
calibrate_flash_primary_20260821T140248,flash,primary,00dbc0306763a34c22ae2d9463c4d5410d1accf4,8689,171,8860,2026-08-21T14:02:51.241300+00:00
calibrate_flash_primary_20260821T140248,flash,primary,19b146166c9c6299dfca1de11ccde9f11a23cce7,8661,124,8785,2026-08-21T14:02:53.493786+00:00
calibrate_flash_primary_20260821T140248,flash,primary,c40f88be316cfb475744417094d83ab0d156048b,8602,136,8738,2026-08-21T14:02:55.553024+00:00
calibrate_flash_primary_20260821T140248,flash,primary,930a78f62b6cadeb2842fbc68e50bceee2b97df1,8375,111,8486,2026-08-21T14:02:57.502024+00:00
calibrate_flash_primary_20260821T140248,flash,primary,4edf6b3c5cc9f216bf2b3a689ea97af804527b44,8562,155,8717,2026-08-21T14:02:59.712956+00:00
calibrate_flash_primary_20260821T140248,flash,primary,91d758c3515d666d815b8f31dfcb7ed1743b2a0b,8736,121,8857,2026-08-21T14:03:01.709764+00:00
calibrate_flash_primary_20260821T140248,flash,primary,2e5139e51fe3d195500028b48a2e99bb9ad80a2b,8822,2475,11297,2026-08-21T14:03:22.663861+00:00
calibrate_flash_primary_20260821T140248,flash,primary,71496d458028ce232085061eb45caac1176b83fc,8332,275,8607,2026-08-21T14:03:25.621219+00:00
calibrate_flash_primary_20260821T140248,flash,primary,cd3c9e30ee7d32a0f31505f93c6f36f281712b70,8923,151,9074,2026-08-21T14:03:27.773298+00:00
calibrate_flash_primary_20260821T140248,flash,primary,a65880da7d66743d06bd4e8fe51d293000f17fe6,8498,139,8637,2026-08-21T14:03:29.820751+00:00
calibrate_flash_primary_20260827T223847,flash,primary,00dbc0306763a34c22ae2d9463c4d5410d1accf4,8689,198,8887,2026-08-27T22:38:51.292795+00:00
calibrate_flash_primary_20260827T223847,flash,primary,19b146166c9c6299dfca1de11ccde9f11a23cce7,8661,103,8764,2026-08-27T22:38:53.503814+00:00
calibrate_flash_primary_20260827T223847,flash,primary,c40f88be316cfb475744417094d83ab0d156048b,8602,155,8757,2026-08-27T22:38:55.515690+00:00
calibrate_flash_primary_20260827T223847,flash,primary,930a78f62b6cadeb2842fbc68e50bceee2b97df1,8375,149,8524,2026-08-27T22:38:57.577006+00:00
calibrate_flash_primary_20260827T223847,flash,primary,4edf6b3c5cc9f216bf2b3a689ea97af804527b44,8562,184,8746,2026-08-27T22:38:59.869644+00:00
calibrate_flash_primary_20260827T223847,flash,primary,91d758c3515d666d815b8f31dfcb7ed1743b2a0b,8736,176,8912,2026-08-27T22:39:02.811505+00:00
calibrate_flash_primary_20260827T223847,flash,primary,2e5139e51fe3d195500028b48a2e99bb9ad80a2b,8822,1955,10777,2026-08-27T22:39:20.535269+00:00
calibrate_flash_primary_20260827T223847,flash,primary,71496d458028ce232085061eb45caac1176b83fc,8332,581,8913,2026-08-27T22:39:26.536965+00:00
